"coffee_shop_name","cityarea","num_reviews","popular","rating","ratingMorning","ratingLunch","ratingAfternoon","ratingDinner","coffee","coffee_rec","tea","tea_rec","food","food_rec","alcohol","alcohol_rec","vibe","vibe_rec","service","service_rec","price","price_rec","convenience","convenience_rec","internet","seating"
"Flat Track Coffee ","downtown",63,FALSE,4.57,5.00856001153577,4.75945528550069,4.98127518266429,4.09569266274584,0.79,"Good",0,"Bad",0.13,"Ok",0,"Ok",0.22,"Ok",0.4,"Good",0,"Ok",0.0275,"Bad",TRUE,TRUE
"Friends & Neighbors ","downtown",29,FALSE,4.55,4.50520078994335,4.30102048752836,4.22739413846292,4.00520919606104,0.38,"Bad",0,"Bad",0.31,"Ok",0.1,"Good",0,"Ok",0.48,"Good",-0.03,"Bad",0.025,"Bad",FALSE,TRUE
"Lola Savannah Coffee","eastcity",104,TRUE,4.55,4.72046781003471,3.89670751290413,4.23691994678237,4.88480266511432,0.68,"Ok",0.27,"Very good",0.2,"Ok",0.06,"Good",0.22,"Ok",0.34,"Ok",0.02,"Ok",0.13,"Very good",TRUE,TRUE
"Corona Coffee ","downtown",100,FALSE,4.53,4.59972806587813,4.09928071416926,4.02202939840047,3.66151416465663,0.76,"Good",0.08,"Good",0.35,"Ok",0,"Ok",0.28,"Ok",0.54,"Very good",0.01,"Ok",0.0375,"Ok",TRUE,TRUE
"Figure 8 Coffee Purveyors ","downtown",100,FALSE,4.5,4.11880769535909,4.78233338691287,4.1948684136384,4.88563792794933,0.88,"Good",0,"Bad",0.11,"Ok",0,"Ok",0.47,"Good",0.32,"Ok",0.02,"Ok",0.07,"Good",TRUE,TRUE
"Sister Coffee ","eastcity",17,FALSE,4.47,4.85383197158565,4.33164658986036,4.74856224663548,4.18562618583448,0.82,"Good",0.06,"Good",0.12,"Ok",0,"Ok",0,"Ok",0.06,"Very Bad",0,"Ok",0.075,"Good",FALSE,FALSE
"Lucky Lab Coffee ","downtown",25,FALSE,4.44,4.19624422498054,4.92416900116938,4.85694379812096,4.26517247602348,0.6,"Ok",-0.04,"Very Bad",0.36,"Ok",0,"Ok",0.2,"Ok",0.36,"Ok",0.2,"Very good",-0.01,"Very Bad",FALSE,FALSE
"Cafe Ruckus ","downtown",68,FALSE,4.43,3.99037715218973,3.76281260235252,4.42703272050247,5.04622654199584,0.87,"Good",0.12,"Good",0.21,"Ok",0,"Ok",0,"Ok",0.46,"Good",0.03,"Ok",0.075,"Good",TRUE,TRUE
"Cafe Creme ","eastcity",100,FALSE,4.37,4.20480389051144,4.26061980571601,4.23549083581198,5.17420610845068,0.54,"Ok",0.02,"Ok",0.52,"Good",0,"Ok",0.47,"Good",0.37,"Ok",0,"Ok",0.035,"Ok",TRUE,TRUE
"Fat Cats Organic Coffee And Dessert ","downtown",94,FALSE,4.36,4.79632350318123,5.17472772637361,4.05573879297831,3.94245439380418,0.8,"Good",0.03,"Ok",0.4,"Ok",-0.01,"Very Bad",0.18,"Ok",0.4,"Good",0.03,"Ok",0.065,"Good",TRUE,TRUE
